name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Mustelidae	9655	family	0	309	7	0.0
Lutra	9656	genus	0	1	0	0.0
Lutra lutra	9657	species	249376	13	2	0.0
Martes	9658	genus	0	6	0	0.0
Martes foina	9659	species	137373	19	6	0.0
Martes americana	9660	species	107908	32	21	0.0
Meles	9661	genus	0	5	0	0.0
Meles meles	9662	species	396398	205	95	0.0
Mustela	9665	genus	0	807	1	0.0
Mustela lutreola	9666	species	63079	2	1	0.0
Mustela putorius	9668	species	159092	3199	1074	0.0
Mustela putorius furo	9669	subspecies	195730938	28795	7440	0.0
Pteronura brasiliensis	9672	species	71516	4	3	0.0
Viverridae	9673	family	0	4	0	0.0
Paguma larvata	9675	species	102478	6	5	0.0
Hyaenidae	9676	family	0	1	0	0.0
Crocuta	9677	genus	0	1	0	0.0
Crocuta crocuta	9678	species	166888	12	3	0.0
Felidae	9681	family	0	1697	25	0.0
Felis	9682	genus	0	179	0	0.0
Felis silvestris	9683	species	425769	3	1	0.0
Felis catus	9685	species	124302759	30299	10530	0.0
Panthera	9688	genus	0	170	0	0.0
